EAN-Code;Pharmacode;Bezeichnung ;Galenische Form | PGR;KAT ;CSL-Code*;CSL 70.01.
7640187360660;4228987;Apis/Arnica;Globuli velati 20 g;B;2070306;16.55
7640187363012;4228970;Apis/Arnica;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187361377;4229024;Apis/Belladonna;Globuli velati 20 g;D;2070306;16.55
7640187363029;4229018;Apis/Belladonna;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187360691;4910791;Apis/Belladonna/Mercurius;Globuli velati 20 g;D;2070358;18.35
7640187362473;6543693;"Apis/Belladonna/Mercurius
";Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187361384;6013966;"Apis/Berberis comp.
";Globuli velati 20 g;D;2070306;16.55
7640187363036;4926668;"Apis/Berberis comp.
";Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187361391;1966650;Apis/Bryonia;Globuli velati 20 g;D;2070306;16.55
7640187362213;4926651;Apis/Larynx comp.;Globuli velati 20 g;D;2070358;18.35
7640187362602;6544333;Aquilinum comp.;Globuli velati 20 g;D;2070306;16.55
7640187360790;4229219;Archangelica comp.;Globuli velati 20 g;D;2070358;18.35
7640187362596;4229403;Argentum nitricum comp.;Globuli velati 20 g;D;2070358;18.35
7640187362688;5094081;Argentum/Echinacea;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187361414;4926616;"Argentum/Echinacea
";Globuli velati 20 g;D;2070358;18.35
7640187362060;4247915;Argentum/Ovaria;Globuli velati 20 g;B;2070306;16.55
7640187361162;7630247;Argentum/Pancreas;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187361421;4229449;Argentum/Quarz;Globuli velati 20 g;D;2070358;18.35
7640187361001;4229426;Argentum/Quarz;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187361438;4229461;Argentum/Saccharum sacchari;Globuli velati 20 g;D;2070306;16.55
7640187362480;4229455;Argentum/Saccharum sacchari;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187363494;7107095;Argentum/Urtica comp.;Gelatum 30 g;D;2070482;20.25
7640187363746;1033474;Arnica comp.;Creme 30 g;D;2070482;20.25
7640187360127;6343793;Arnica e floribus W 5%;Oleum pro balneo 100 ml;D;2070192;19.9
7640187361445;4230636;Arnica, planta tota D19/Aurum D29;Globuli velati 20 g;D;2070358;18.35
7640187361018;7097534;Arnica, planta tota D19/Aurum D29;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187363739;4229538;Arnica, Planta tota D6;Globuli velati 20 g;D;2069651;14.2
7640187362619;6013937;"Arnica/Cactus comp.
";Globuli velati 20 g;D;2070358;18.35
7640187363685;6343801;"Arnica/Cactus comp.
";Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187363708;6958253;Arnica/Epiphysis/Plumbum mellitum comp.;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187363715;6547484;Arnica/Hypophysis/Plumbum mellitum comp.;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187363357;4926639;"Arnica/Lappa comp.
";Oleum 100 ml;D;2070513;24.8
7640187361469;4230866;Arnica/Plumbum mellitum;Globuli velati 20 g;D;2070358;18.35
7640187361025;4230814;Arnica/Plumbum mellitum;Solutio ad inj. 10 x 1 ml;B;2070588;39
7680429770123;972163;Arnika Kompressen;Kompressen 5 x 1 Stück;D;;
7640187361292;4230926;Aurum comp.;Globuli velati 20 g;D;2070306;16.55
7640187362640;5744573;"Aurum/Epiphysis comp.
";Globuli velati 20 g;D;2070306;16.55
7640187361476;4910816;Aurum/Hyoscyamus comp.;Globuli velati 20 g;D;2070306;16.55
7640187363050;5419689;"Aurum/Hyoscyamus comp.
";Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187362190;4926645;"Aurum/Hypophysis comp.
";Globuli velati 20 g;D;2070306;16.55
7640187361483;5309653;Aurum/Plumbum mellitum comp.;Globuli velati 20 g;B;2070358;18.35
7640187361490;4231251;Aurum/Prunus;Globuli velati 20 g;D;2070306;16.55
7640187362107;4231245;Aurum/Prunus;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187361506;4231423;Aurum/Valeriana comp.;Globuli velati 20 g;D;2070306;16.55
7640187360509;4231446;Avena comp.;Globuli velati 20 g;D;2070358;18.35
7640187360967;5792431;"Avena/Passiflora comp.
";Suppositoria 10 x 1 g;D;2070559;23
7640187360134;5792425;"Avena/Passiflora comp.
";Suppositoria 10 x 2 g;D;2070559;23
7640187360912;5573350;"Bambusa D3
";Globuli velati 20 g;D;2069651;14.2
7640187360943;5975456;Bambusa D6;Globuli velati 20 g;D;2069651;14.2
7640187361513;4231498;Barium/Pancreas comp.;Globuli velati 20 g;B;2070306;16.55
7640187360141;7275355;Belladonna comp.;Suppositoria 10 x 2 g;D;2070559;23
7640187361520;2636044;Belladonna/Chamomilla;Globuli velati 20 g;D;2070306;16.55
7640187362114;4231587;Belladonna/Chamomilla;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187363074;7686779;Berberis/Chelidonium comp.;Capsulae 90 Stück;D;3794118;46.45
7640187360646;4231624;Berberis/Hypericum comp.;Globuli velati 20 g;D;2070306;16.55
7640187361537;4231630;Berberis/Nicotiana comp.;Globuli velati 20 g;D;2070306;16.55
7640187361308;4231653;Berberis/Prostata comp.;Globuli velati 20 g;B;2070306;16.55
7640187361544;2133024;Berberis/Quarz;Globuli velati 20 g;D;2070358;18.35
7640187362138;4231682;Berberis/Quarz;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187361551;4231713;Berberis/Sepia comp.;Globuli velati 20 g;B;2070306;16.55
7640187361568;4232718;Berberis/Urtica urens;Globuli velati 20 g;D;2070306;16.55
7640187360905;4232730;Berberis/Uterus comp.;Globuli velati 20 g;B;2070306;16.55
7640187362657;1966710;Betula/Arnica comp.;Globuli velati 20 g;D;2070358;18.35
7640187362145;4232871;Betula/Arnica comp.;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187363098;2101001;Betula/Juniperus;Extractum saccharatum 180 ml;D;;
7640187361575;4232894;Betula/Mandragora comp.;Globuli velati 20 g;B;2070306;16.55
7640187363111;4232888;Betula/Mandragora comp.;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7680334220249;396274;Bitter Elixier;Sirup 180 ml;D;;
7640187361582;6272484;Bleiglanz/Secale comp.;Globuli velati 20 g;B;2070306;16.55
7640187363128;4248820;Bleiglanz/Secale comp.;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187363135;7147597;Bolus alba comp.;Pulvis ad us. int. 35 g;D;2070312;18.45
7640187361353;4232919;Borago comp.;Globuli velati 20 g;D;2070306;16.55
7640187362725;4232902;Borago comp.;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187363142;4233103;Borago ex herba;Tinctura ad us. ext. 100 ml;D;2070128;16.5
7640187361599;6053279;"Borago/Renes comp.
";Globuli velati 20 g;B;2070306;16.55
7640187360530;2133030;Bronchi/Plantago comp.;Globuli velati 20 g;D;2070358;18.35
7640187361049;4233132;Bronchi/Plantago comp.;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187361605;4233273;Bryonia comp.;Globuli velati 20 g;D;2070306;16.55
7640187362572;4233178;Bryonia/Pulsatilla comp.;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187361407;5930181;"Bryonia/Pulsatilla comp.
";Globuli velati 20 g;D;2070306;16.55
7640187361261;4233327;Bryonia/Stannum;Globuli velati 20 g;D;2070306;16.55
7640187362152;4233296;Bryonia/Stannum;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187363159;4250509;Bryonia/Viscum comp.;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187361452;4233362;Bryophyllum comp.;Globuli velati 20 g;B;2070306;16.55
7640187362664;6053322;Calcium carbonicum cum Quercu D6;Globuli velati 20 g;D;2070306;16.55
7640187363166;6381061;Calcium carbonicum cum Quercu D6;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187363661;6824877;Calcium carbonicum cum Quercu D6;Solutio ad inj. 5 x 10 ml;B;2070625;55.75
7640187363197;6354986;Calcium carbonicum/Mesenchym comp.;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187360158;5659270;"Calendula officinalis
";Tinctura ad us. ext. 100 ml;D;2070128;16.5
7640187360165;6455405;Calendula Presssaft/Echinacea;Creme 10 g;D;;
7640187360189;5893497;Calendula Presssaft/Echinacea;Creme 100 g;D;2070499;32.8
7640187360172;5999712;Calendula Presssaft/Echinacea;Creme 30 g;D;2070482;20.25
7640187360196;2441398;Calendula/Tropaeolum comp.;Tinctura ad us. ext. 100 ml;B;2070476;20.6
7640187362121;1966756;Cantharis comp.;Globuli velati 20 g;D;2070306;16.55
7640187362176;4233563;Cantharis comp.;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187361636;4233847;Carduus marianus/Oxalis;Globuli velati 20 g;D;2070306;16.55
7640187363203;4233818;Carduus marianus/Oxalis;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187361629;4233758;Carduus marianus/Viscum Mali comp.;Globuli velati 20 g;B;2070306;16.55
7640187363210;4233787;Carduus marianus/Viscum Mali comp.;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187363760;1009353;Cartilago comp.;Creme 100 g;D;2070499;32.8
7640187363753;1009352;Cartilago comp.;Creme 30 g;D;2070482;20.25
7640187360813;4233882;Cartilago comp.;Globuli velati 20 g;B;2070358;18.35
7640187363227;2034173;Cartilago comp.;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187362183;4234568;Cartilago/Echinacea comp.;Globuli velati 20 g;D;2070358;18.35
7640187360837;4234634;Cartilago/Mandragora comp.;Globuli velati 20 g;B;2070306;16.55
7640187363258;4234574;Cartilago/Mandragora comp.;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187360219;4234657;Cartilago/Mandragora comp.;Unguentum 100 g;B;2070499;32.8
7640187360202;4234663;Cartilago/Mandragora comp.;Unguentum 30 g;B;2070482;20.25
7640187360950;6118004;Carum carvi comp.;Suppositoria 10 x 1 g;D;2070559;23
7640187360226;4234700;Carum carvi comp.;Suppositoria 10 x 2 g;D;2070559;23
7640187361643;4234798;Cerebellum comp.;Globuli velati 20 g;B;2070306;16.55
7640187362770;4234752;Cerebellum comp.;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187360233;4234982;Chamomilla e floribus W 10%;Oleum pro balneo 100 ml;D;2070192;19.9
7640187361650;4235013;Chamomilla/Nicotiana;Globuli velati 20 g;D;2070306;16.55
7640187361667;6824908;Chelidonium/Colocynthis;Globuli velati 20 g;D;2070306;16.55
7640187361780;5350207;Chelidonium/Terebinthina laricina comp.;Collyria 30 x 0,5 ml;D;;
7640187361773;5574668;"Chelidonium/Terebinthina laricina comp.
";Collyria 5 x 0,5 ml;D;2070542;13.9
7640187361681;4236030;Cichorium/Pancreas comp.;Globuli velati 20 g;B;2070306;16.55
7640187363265;4236001;Cichorium/Pancreas comp.;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187360240;6531135;Citri aetheroleum 10%;Oleum pro balneo 100 ml;D;2070192;19.9
7640187363272;5896811;Citrus/Cydonia;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187361698;4236099;Conjunctiva comp.;Globuli velati 20 g;D;2070358;18.35
7640187360851;7097528;Convallaria/Primula comp.;Globuli velati 20 g;B;2070306;16.55
7640187362817;5882878;"Cor/Crataegus comp.
";Globuli velati 20 g;D;2070306;16.55
7640187363289;5866744;"Cor/Crataegus comp.
";Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187362312;4236113;Cornea/Levisticum comp.;Collyria 30 x 0,5 ml;D;;
7640187362305;4236142;Cornea/Levisticum comp.;Collyria 5 x 0,5 ml;D;2070542;13.9
7640187361360;6339113;Corpus vitreum/Hornerz (Arg. chlo. nat.) comp.;Collyria 30 x 0,5 ml;D;;
7640187363296;7059031;Corpus vitreum/Hornerz comp.;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187362824;6053316;"Corpus vitreum/Hornerz comp.
";Globuli velati 20 g;D;2070358;18.35
7640187361704;6053285;Crataegus/Viscum;Globuli velati 20 g;D;2070306;16.55
7640187363302;5835092;Crataegus/Viscum;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187361056;4236231;Cuprum aceticum comp.;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187360264;2389806;Cuprum oxydulatum rubrum 0.4%;Unguentum 100 g;D;2070157;26.4
7640187360257;2389781;Cuprum oxydulatum rubrum 0.4%;Unguentum 30 g;D;2070140;16.25
7640187360271;4236254;Cuprum/Nicotiana;Unguentum 30 g;D;2070482;20.25
7640187363319;4236260;Disci comp. cum Aesculo;Solutio ad inj. 10 x 1 ml;B;2070602;59
7640187362848;4236314;Disci comp. cum Argento;Globuli velati 20 g;D;2070358;18.35
7640187363326;2034167;Disci comp. cum Argento;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187361711;4237555;Disci comp. cum Auro;Globuli velati 20 g;B;2070358;18.35
7640187363500;4236320;Disci comp. cum Auro;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187362855;4237561;Disci comp. cum Nicotiana;Globuli velati 20 g;D;2070358;18.35
7640187362862;4237578;Disci comp. cum Pulsatilla;Globuli velati 20 g;D;2070306;16.55
7640187360493;1966791;Disci comp. cum Stanno;Globuli velati 20 g;B;2070358;18.35
7640187362930;7803060;Disci comp. cum Stanno;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187362879;4237644;Disci comp. cum Stibio;Globuli velati 20 g;D;2070358;18.35
7640187363517;4237615;Disci comp. cum Stibio;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187362091;7394002;Disci/Rhus toxicodendron comp.;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187363678;7679957;Disci/Rhus toxicodendron comp.;Solutio ad inj. 5 x 10 ml;B;2070625;55.75
7640187363395;4238170;Disci/Viscum comp. cum Argento;Suppositoria 10 x 2 g;B;2070559;23
7640187363784;1099042;Disci/Viscum comp. cum Stanno;Creme 100 g;D;2070499;32.8
7640187362886;4238187;Disci/Viscum comp. cum Stanno;Globuli velati 20 g;D;2070358;18.35
7680484730018;7752134;Echinacea Mund- und Rachenspray;Spray 50 ml;D;;
7640187361728;4238566;Echinacea pallida e planta tota D3;Globuli velati 20 g;D;2069651;14.2
7640187360578;4238721;Echinacea/Mercurius comp.;Suppositoria 10 x 1 g;D;2070559;23
7640187362381;2441406;Echinacea/Quarz comp.;Collyria 30 x 0,5 ml;D;;
7640187362374;2441412;Echinacea/Quarz comp.;Collyria 5 x 0,5 ml;D;2070542;13.9
7640187362053;6642900;Echinacea/Viscum;Globuli velati 20 g;D;2070306;16.55
7640187360295;1456050;Echinacea/Viscum comp.;Gelatum 30 g;B;2070482;20.25
7640187362893;6284174;"Epiphysis comp.
";Globuli velati 20 g;D;2070306;16.55
7640187361735;4238833;Epiphysis/Plumbum;Globuli velati 20 g;D;2070358;18.35
7640187362909;6053291;"Equisetum arvense/Formica
";Globuli velati 20 g;D;2070306;16.55
7640187363524;6188074;"Equisetum arvense/Formica
";Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187360301;4238939;Equisetum ex herba W 5%;Oleum pro balneo 100 ml;D;2070192;19.9
7640187361742;6228460;"Equisetum/Pancreas
";Globuli velati 20 g;B;2070306;16.55
7640187361759;4927550;Equisetum/Renes comp.;Globuli velati 20 g;B;2070401;27.25
7640187361766;4239146;Equisetum/Stannum;Globuli velati 20 g;D;2070358;18.35
7640187361070;4239092;Equisetum/Stannum;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187360875;4239399;Equisetum/Viscum;Globuli velati 20 g;B;2070306;16.55
7640187360318;6622613;Eucalypti aetheroleum 10%;Oleum pro balneo 100 ml;D;2070192;19.9
7680550430064;2495402;Euphrasia Einzeldosis-Augentropfen;Augentropfen 15 x 0,5 ml;D;;
7640187362404;6222641;"Euphrasia/Rosae aetheroleum
";Collyria 30 x 0,5 ml;D;;
7640187362398;1344776;"Euphrasia/Rosae aetheroleum
";Collyria 5 x 0,5 ml;D;2070542;13.9
7640187360806;5835086;"Ferrum rosatum/Graphites
";Globuli velati 20 g;D;2070358;18.35
7640187361087;5950870;"Ferrum sidereum/Pancreas
";Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187361612;4239672;Ferrum silicicum comp.;Globuli velati 20 g;D;2070306;16.55
7640187361797;4239726;Ferrum/Sulfur comp.;Globuli velati 20 g;D;2070358;18.35
7640187360639;4927567;Ferrum/Thyreoidea;Globuli velati 20 g;B;2070306;16.55
7640187361094;4927573;"Ferrum/Thyreoidea
";Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187362671;4239732;Formica/Oxalis;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187361803;4242674;Galenit/Retina comp.;Globuli velati 20 g;D;2070358;18.35
7640187360776;1966816;Gelsemium comp.;Globuli velati 20 g;D;2070358;18.35
7640187363333;4242680;Gelsemium comp.;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187360325;6065213;"Gentiana/Zingiber comp.
";Extractum aquosum 100 ml;D;;
7640187361100;5967008;"Glandula suprarenalis/Mercurius
";Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187360899;4242823;Glandulae suprarenales comp.;Globuli velati 20 g;B;2070306;16.55
7640187361117;4242800;Glandulae suprarenales comp.;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187362800;6221268;Gnaphalium comp.;Globuli velati 20 g;D;2070358;18.35
7640187362763;4242869;Gnaphalium comp.;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187363531;4242875;Hepar sulfuris comp.;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187361124;6824883;Hepar/Stannum metalicum A;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187362589;4243751;Hirudo comp.;Globuli velati 20 g;D;2070358;18.35
7640187362541;4242964;Hirudo comp.;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187363548;6670977;Hypophysis comp.;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187362916;6144444;"Hypophysis comp.
";Globuli velati 20 g;D;2070306;16.55
7640187361810;4243811;Hypophysis/Stannum;Globuli velati 20 g;B;2070358;18.35
7640187360936;4243886;Ignatia comp.;Globuli velati 20 g;D;2070358;18.35
7640187360844;1966822;Lachesis comp.;Globuli velati 20 g;D;2070358;18.35
7640187362756;4243900;Lachesis comp.;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187362206;4243917;Larynx comp.;Globuli velati 20 g;D;2070306;16.55
7640187360363;5573344;"Lavandula, Oleum aethereum 10%
";Oleum aeth. 100 ml;D;2070192;19.9
7640187362329;6039894;"Lens cristallina/Viscum comp. cum Stanno
";Collyria 30 x 0,5 ml;D;;
7640187360745;4244029;Levico comp.;Globuli velati 20 g;D;2070306;16.55
7640187363487;4243998;Levico comp.;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187361827;4244153;Levisticum e radice D3;Globuli velati 20 g;D;2069651;14.2
7640187360080;4244271;Levisticum e radice W 5%;Otoguttae 10 ml;D;2070200;8.25
7640187360882;4244035;Lien comp.;Globuli velati 20 g;B;2070358;18.35
7640187363043;4244070;Lycopodium comp.;Globuli velati 20 g;D;2070306;16.55
7640187362220;4244064;Lycopodium comp.;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7680673670019;7805016;Magen-Darm Globuli velati;Globuli velati 20 g;D;;
7640187361834;4244101;Magnesit/Mamma comp.;Globuli velati 20 g;B;2070306;16.55
7640187362237;4244087;Magnesit/Mamma comp.;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187360516;4244130;Magnesium phosphoricum comp.;Globuli velati 20 g;D;2070306;16.55
7640187363555;4244118;Magnesium phosphoricum comp.;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187360677;4244147;Magnesium sulfuricum/Ovaria comp.;Globuli velati 20 g;B;2070306;16.55
7640187363180;5682487;"Majorana/Thuja comp.
";Vaginalgel 100 g;D;2070499;32.8
7640187363173;5682493;"Majorana/Thuja comp.
";Vaginalgel 30 g;D;2070482;20.25
7640187362084;4244176;Malva comp.;Oleum 100 ml;D;2070513;24.8
7640187362077;921875;Malva comp.;Oleum 50 ml;D;2070507;13.9
7640187360479;5602318;Melissa comp.;Oleum ad us. ext. 50 ml;D;2070507;13.9
7640187360622;4244213;Melissa/Sepia comp.;Globuli velati 20 g;D;2070358;18.35
7640187362343;6500442;Mercurialis/Rosae aetheroleum;Collyria 30 x 0,5 ml;D;;
7640187362336;6500459;Mercurialis/Rosae aetheroleum;Collyria 5 x 0,5 ml;D;2070542;13.9
7640187361131;4927633;Meteoreisen/Phosphor/Quarz             ;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187360707;4927627;Meteoreisen/Phosphor/Quarz                                   ;Globuli velati 20 g;D;2070358;18.35
7640187360653;4244354;Myristica sebifera comp.;Globuli velati 20 g;D;2070358;18.35
7640187362695;4244331;Myristica sebifera comp.;Solutio ad inj. 10 x 1 ml;B;2070588;39
7680415840175;915030;Nasenbalsam;Nasencreme 10 g;D;;
7680465600194;884861;Nasenbalsam mild;Nasencreme 10 g;D;;
7640187362367;1396833;Nervus opticus comp.;Collyria 30 x 0,5 ml;D;;
7640187362350;1346195;Nervus opticus comp.;Collyria 5 x 0,5 ml;D;2070542;13.9
7640187363791;1047665;Nervus opticus Gl D30;Solutio ad inj. 10 x 1 ml;B;2070677;44.5
7640187361841;4247826;Nicotiana comp.;Globuli velati 20 g;D;2070358;18.35
7640187363579;4247312;Nicotiana comp.;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187361858;6868337;Nicotiana/Nux vomica comp.;Globuli velati 20 g;B;2070358;18.35
7640187362244;4927656;Nicotiana/Nux vomica comp.;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187363586;6205105;"Nicotiana/Strophanthus comp.
";Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187361865;4927662;Onopordum/Primula comp.;Globuli velati 20 g;D;2070306;16.55
7640187361872;4247878;Organum quadruplex;Globuli velati 20 g;B;2070306;16.55
7640187361155;4247861;Organum quadruplex;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187360561;4247890;Ovaria comp.;Globuli velati 20 g;B;2070306;16.55
7640187362251;4247884;Ovaria comp.;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187360370;4247921;Oxalis e planta tota W 10%;Oleum pro baln. 100 ml;B;2070192;19.9
7640187361933;4248671;Oxalis/Quarz comp.;Globuli velati 20 g;D;2070358;18.35
7640187361896;6622607;Pancreas/Platinum chloratum comp.;Globuli velati 20 g;B;2070306;16.55
7680603560915;6640309;Pancreas/Platinum chloratum comp.;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187361919;4248180;Passiflora comp.;Globuli velati 20 g;D;2070306;16.55
7640187361179;4248234;Periodontium/Silicea comp.;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187361889;4248286;Petasites comp.;Globuli velati 20 g;D;2070306;16.55
7640187362718;4248257;Petasites comp.;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7680415870240;1374145;Plantago Bronchialbalsam;Creme 100 g;D;;
7680415870165;892694;Plantago Bronchialbalsam;Creme 30 g;D;;
7640187363432;5857366;Primula comp.;Oleum ad us. ext. 100 ml;D;2070513;24.8
7640187360394;4248642;Prunus spinosa e floribus W 5%;Oleum pro balneo 100 ml;D;2070192;19.9
7640187361926;2636050;Prunus spinosa ferm cum Ferro D3;Globuli velati 20 g;D;2069651;14.2
7640187362534;4248470;Prunus spinosa ferm cum Ferro D6;Solutio ad inj. 10 x 1 ml;B;2070631;25
7640187360400;4927685;Prunus/Rosmarinus comp.;Gelatum 30 g;B;2070482;20.25
7640187360554;4248501;Pulmo/Mercurius;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187361186;5663573;"Pulmo/Tartarus stibiatus B
";Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187361193;4248576;Pulmo/Vivianit comp.;Solutio ad inj. 10 x 1 ml;B;2070588;39
7680394600173;1569340;Pulmonium Hustensaft;Sirup 90 ml;D;;
7640187363616;4248665;Pulpa dentis Gl D30;Solutio ad inj. 10 x 1 ml;B;2070677;44.5
7640187361964;4248889;Quarz/Secale;Globuli velati 20 g;D;2070358;18.35
7640187362275;4927691;"Quarz/Secale
";Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187363845;1099045;Quercus comp.;Creme/Crème 30 g;D;2070482;20.25
7640187360684;4248837;Renes/Cuprum;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187361209;2385671;Retina comp.;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187361216;4248895;Retina et Chorioidea Gl D10;Solutio ad inj. 10 x 1 ml;B;2070654;29.5
